id;shop_id;product_id;price;quantity;reserved_quantity;active
11111111-1111-1111-1111-111111111111;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1;550e8400-e29b-41d4-a716-446655440001;299.99;15      ;0                ;true
11111111-1111-1111-1111-111111111112;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1;550e8400-e29b-41d4-a716-446655440002;349.50;8       ;0                ;true
11111111-1111-1111-1111-111111111113;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1;550e8400-e29b-41d4-a716-446655440003;279.00;12      ;0                ;true
11111111-1111-1111-1111-111111111114;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1;550e8400-e29b-41d4-a716-446655440004;399.00;20      ;0                ;true
11111111-1111-1111-1111-111111111115;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1;550e8400-e29b-41d4-a716-446655440005;329.99;5       ;0                ;true
11111111-1111-1111-1111-111111111116;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1;550e8400-e29b-41d4-a716-446655440006;449.50;10      ;0                ;true
11111111-1111-1111-1111-111111111117;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1;550e8400-e29b-41d4-a716-446655440007;479.00;7       ;0                ;true
11111111-1111-1111-1111-111111111118;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee1;550e8400-e29b-41d4-a716-446655440008;369.99;18      ;0                ;true
11111111-1111-1111-1111-111111111119;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee2;550e8400-e29b-41d4-a716-446655440001;310.00;22      ;0                ;true
11111111-1111-1111-1111-11111111111a;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee2;550e8400-e29b-41d4-a716-446655440002;359.00;14      ;0                ;true
11111111-1111-1111-1111-11111111111b;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee2;550e8400-e29b-41d4-a716-446655440003;289.50;6       ;0                ;true
11111111-1111-1111-1111-11111111111c;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee2;550e8400-e29b-41d4-a716-446655440004;410.00;25      ;0                ;true
11111111-1111-1111-1111-11111111111d;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee2;550e8400-e29b-41d4-a716-446655440005;340.00;3       ;0                ;true
11111111-1111-1111-1111-11111111111e;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee2;550e8400-e29b-41d4-a716-446655440006;460.00;9       ;0                ;true
11111111-1111-1111-1111-11111111111f;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee2;550e8400-e29b-41d4-a716-446655440007;490.00;11      ;0                ;true
11111111-1111-1111-1111-111111111120;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee2;550e8400-e29b-41d4-a716-446655440009;379.00;16      ;0                ;true
11111111-1111-1111-1111-111111111121;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee2;550e8400-e29b-41d4-a716-446655440010;429.00;8       ;0                ;true
11111111-1111-1111-1111-111111111122;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee3;550e8400-e29b-41d4-a716-446655440001;295.00;30      ;0                ;true
11111111-1111-1111-1111-111111111123;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee3;550e8400-e29b-41d4-a716-446655440003;275.00;4       ;0                ;true
11111111-1111-1111-1111-111111111124;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee3;550e8400-e29b-41d4-a716-446655440004;389.99;12      ;0                ;true
11111111-1111-1111-1111-111111111125;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee3;550e8400-e29b-41d4-a716-446655440006;439.00;7       ;0                ;false
11111111-1111-1111-1111-111111111126;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee3;550e8400-e29b-41d4-a716-446655440008;355.00;0       ;0                ;true
11111111-1111-1111-1111-111111111127;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee3;550e8400-e29b-41d4-a716-446655440011;369.00;9       ;0                ;true
11111111-1111-1111-1111-111111111128;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee3;550e8400-e29b-41d4-a716-446655440012;419.00;6       ;0                ;true
11111111-1111-1111-1111-111111111129;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee3;550e8400-e29b-41d4-a716-446655440013;399.00;11      ;0                ;true
11111111-1111-1111-1111-11111111112a;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee3;550e8400-e29b-41d4-a716-446655440014;459.00;5       ;0                ;true
11111111-1111-1111-1111-11111111112b;aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeee3;550e8400-e29b-41d4-a716-446655440015;329.00;18      ;0                ;true
